

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
146.873  000.050  000.050: require('nvim-tree.actions.fs.copy-paste')
146.909  000.030  000.030: require('nvim-tree.actions.node.file-popup')
146.934  000.024  000.024: require('nvim-tree.actions.node.run-command')
146.963  000.028  000.028: require('nvim-tree.actions.node.system-open')
146.988  000.024  000.024: require('nvim-tree.actions.moves.sibling')
147.038  000.047  000.047: require('nvim-tree.actions.moves.parent')
147.111  000.069  000.069: require('nvim-tree.actions.moves.item')
147.145  000.025  000.025: require('nvim-tree.marks.bulk-delete')
147.171  000.025  000.025: require('nvim-tree.marks.bulk-trash')
147.197  000.025  000.025: require('nvim-tree.marks.bulk-move')
147.288  000.057  000.057: require('nvim-tree.actions.node.open-file')
147.290  000.092  000.035: require('nvim-tree.marks.navigation')
147.298  001.113  000.109: require('nvim-tree.api')
147.304  001.155  000.042: require('nvim-tree.commands')
147.344  000.038  000.038: require('nvim-tree.actions.root.change-dir')
147.371  000.026  000.026: require('nvim-tree.legacy')
147.413  104.302  000.293: require('nvim-tree')
147.939  000.087  000.087: require('nvim-tree.actions')
148.245  000.075  000.075: require('nvim-tree.diagnostics')
148.551  000.040  000.040: sourcing /home/brian/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
149.223  000.913  000.873: require('nvim-web-devicons')
150.982  000.029  000.029: sourcing /home/brian/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
151.032  000.014  000.014: sourcing /home/brian/.local/share/nvim/lazy/todo-comments.nvim/plugin/todo.vim
151.444  000.047  000.047: require('todo-comments.util')
151.456  000.129  000.082: require('todo-comments.config')
151.568  000.080  000.080: require('todo-comments.highlight')
151.573  000.115  000.035: require('todo-comments.jump')
151.574  000.530  000.285: require('todo-comments')
151.959  000.043  000.043: require('Comment.config')
152.137  000.121  000.121: require('Comment.ft')
152.154  000.194  000.073: require('Comment.utils')
152.200  000.045  000.045: require('Comment.opfunc')
152.265  000.063  000.063: require('Comment.extra')
152.271  000.576  000.231: require('Comment.api')
152.338  000.683  000.107: sourcing /home/brian/.local/share/nvim/lazy/Comment.nvim/plugin/Comment.lua
152.400  000.043  000.043: require('Comment')
152.783  000.053  000.053: require('bufferline.lazy')
152.865  000.074  000.074: require('bufferline.commands')
153.014  000.145  000.145: require('bufferline.config')
153.020  000.523  000.250: require('bufferline')
153.099  000.078  000.078: require('bufferline.utils')
154.069  000.185  000.185: require('bufferline.groups')
154.129  000.043  000.043: require('bufferline.constants')
154.176  000.041  000.041: require('bufferline.colors')
154.592  000.194  000.194: require('bufferline.highlights')
157.432  001.906  001.906: require('bufferline.hover')
157.819  000.267  000.267: require('bufferline.ui')
158.988  000.025  000.025: sourcing /home/brian/.local/share/nvim/lazy/nightfox.nvim/plugin/nightfox.vim
160.119  000.022  000.022: require('everforest.util')
